event_name,date,venue_name,Time,venue_coordinates,city
Youth Summit,19 & 20 Sep ,American University in Cairo, 3:00 PM,"30.019224469626735, 31.502954970733693",cairo
Myriam Fares at KIKI’s White,Sep 19 ,"KIKI’s Beach, Hacienda White", 09:00 PM,"31.002772740274153, 28.66518344233024",marsa matrouh
Crowd Gigs By Mohamed Helmy - Saturday Early Show,Sep 20 ,Theatro Arkan, 04:30 PM,"30.020402636742446, 31.003588270211274",giza
Layali Marassi: Asala X Ahmed Saad,Sep 20 ,"Address Beach Resort, Marassi", 11:00 PM,"30.966378514279903, 28.764663160486883",marsa matrouh
Comedy Therapy,Sep 23 ,Cairo Jazz Club 610, 09:00 PM,"30.019941913960334, 31.00298474601855",giza
Cityscape Egypt 2025 - VIP Experience,24th to 27th of September 2025,Egypt International Exhibition Center ,,"30.0144858, 31.3842229",cairo
20 years of Junior,Sep 25 ,Cairo Jazz Club 610, 09:00 PM,"30.019941913960334, 31.00298474601855",giza
Marwa Nagy - 50th anniversary of Umm Kalthoum,Sep 26 ,Theatro Arkan, 08:00 PM,"30.020402636742446, 31.003588270211274",giza
Cityscape Egypt 2025 - VIP Experience (Day 4),Sep 27 ,Egypt International Exhibition Center , 12:00 PM,"30.0144858, 31.3842229",cairo
SheArts,From 2nd to 5th Oct,Concert Hall (New Capital) - AUC Tahrir Square - Falaki Mainstage Theater,,"30.042333968763398, 31.238579755550326",cairo
Rampa On The Nile,Oct 03 ,Movenpick Aswan, 07:00 PM,"24.291348839717898, 32.873637069851746",aswan
Mina Nader X Theatro Arkan,Oct 03 ,Theatro Arkan, 09:00 PM,"30.020402636742446, 31.003588270211274",giza
Rachele Andriolo (Italy) / Sanyu (Norway),Oct 05 ,AUC Tahrir Square, 07:00 PM,"30.04304943486499, 31.236530904482507",cairo
El Masyada,6 to 9 Oct ,El Rihany Theater, 8:00 PM,"30.05695814787614, 31.243279890052847",cairo
Tablet El Sitt,Oct 10 ,Theatro Arkan, 08:00 PM,"30.020402636742446, 31.003588270211274",giza
Saleh El-Nawawy X Boom Room,Oct 13 ,"Boom Room, Open Air Mall, Madinaty", 09:00 PM,"30.108738710312494, 31.6265184785103",cairo
ZED PARK, ,"Zed Park, Elsheikh Zayed",,"30.0428142618184, 30.993995528239015",giza
Crowd Gigs By Mohamed Helmy - First Show,Sep 19 ,Theatro Arkan, 08:00 PM,"30.020402636742446, 31.003588270211274",giza
Ain Gamal x7th Medfest EG,Sep 19 ,AUC Tahrir Square, 09:30 PM,"30.04304943486499, 31.236530904482507",cairo
Crowd Gigs By Mohamed Helmy - Second Show,Sep 20 ,Theatro Arkan, 08:00 PM,"30.020402636742446, 31.003588270211274",giza
Maysara Yehia X Boom Room (EP Launch concert),Sep 21 ,"Boom Room, Open Air Mall, Madinaty", 09:00 PM,"30.108738710312494, 31.6265184785103",cairo
Cityscape Egypt 2025 - VIP Experience (Full Access),24th to 27th of September 2025,Egypt International Exhibition Center ,,"30.0144858, 31.3842229",cairo
Mahib Sleat | 5mstashr | Shobra El General | El Waili,Sep 24 ,Cairo Jazz Club 610, 09:00 PM,"30.019941913960334, 31.00298474601855",giza
Cityscape Egypt 2025 - VIP Experience (Day 3),Sep 26 ,Egypt International Exhibition Center , 02:00 PM,"30.0144858, 31.3842229",cairo
